cancer_state	iteration	mcc
0	0	0.6077627661999565
0	1	0.4350592600752547
0	2	0.5514657766509438
0	3	0.4493278273174259
0	4	0.5296064553668545
0	5	0.48319768700467175
0	6	0.5274918230394227
0	7	0.5221142944963038
0	8	0.5509466726247877
0	9	0.46500982865684587
0	10	0.520323823236875
0	11	0.5199105514107959
0	12	0.4884893243468129
0	13	0.5693099959349145
0	14	0.47565621079901194
0	15	0.4415894072754442
0	16	0.5642149577445597
0	17	0.459655154120944
0	18	0.48448144560289574
0	19	0.4356862251939793
1	0	0.3368142270955536
1	1	0.3260026060026423
1	2	0.305194698355884
1	3	0.3080691144438574
1	4	0.4338315412471765
1	5	0.4369310631952447
1	6	0.3619075378468121
1	7	0.37836380870665876
1	8	0.497302050064336
1	9	0.2987506620028686
1	10	0.36728826564465694
1	11	0.4213374005084452
1	12	0.38656344515588237
1	13	0.5618261288889814
1	14	0.3492557501598897
1	15	0.5998807426711203
1	16	0.5510394295552065
1	17	0.5202628473082634
1	18	0.3905454267325156
1	19	0.4477982688407565
